sigla,ano,quesito,jurado,nota
BJF,1996,Mestre-Sala e Porta-Bandeira,J1,10
BJF,1996,Bateria,J5,10
BJF,1996,Bateria,J4,10
BJF,1996,Bateria,J3,10
BJF,1996,Bateria,J2,10
BJF,1996,Bateria,J1,10
BJF,1996,Samba-Enredo,J5,9.5
BJF,1996,Pen.,Pen.,0
BJF,1996,Samba-Enredo,J3,10
BJF,1996,Samba-Enredo,J2,10
BJF,1996,Samba-Enredo,J1,10
BJF,1996,Harmonia,J5,10
BJF,1996,Harmonia,J4,10
BJF,1996,Harmonia,J3,10
BJF,1996,Harmonia,J2,9.5
BJF,1996,Harmonia,J1,10
BJF,1996,Evolução,J5,10
BJF,1996,Evolução,J4,10
BJF,1996,Evolução,J3,9.5
BJF,1996,Evolução,J2,10
BJF,1996,Evolução,J1,10
BJF,1996,Enredo,J5,10
BJF,1996,Enredo,J4,10
BJF,1996,Enredo,J3,10
BJF,1996,Enredo,J2,10
BJF,1996,Enredo,J1,8.5
BJF,1996,Conjunto,J5,10
BJF,1996,Conjunto,J4,10
BJF,1996,Conjunto,J3,9.5
BJF,1996,Conjunto,J2,10
BJF,1996,Conjunto,J1,9.5
BJF,1996,Alegorias e Adereços,J5,10
BJF,1996,Alegorias e Adereços,J4,10
BJF,1996,Alegorias e Adereços,J3,10
BJF,1996,Alegorias e Adereços,J2,10
BJF,1996,Alegorias e Adereços,J1,10
BJF,1996,Fantasias,J5,10
BJF,1996,Fantasias,J4,10
BJF,1996,Fantasias,J3,10
BJF,1996,Fantasias,J2,10
BJF,1996,Fantasias,J1,9.5
BJF,1996,Samba-Enredo,J4,10
BJF,1996,Comissão de Frente,J5,10
BJF,1996,Comissão de Frente,J4,9.5
BJF,1996,Comissão de Frente,J3,9.5
BJF,1996,Comissão de Frente,J2,10
BJF,1996,Comissão de Frente,J1,10
BJF,1996,Mestre-Sala e Porta-Bandeira,J5,10
BJF,1996,Mestre-Sala e Porta-Bandeira,J4,10
BJF,1996,Mestre-Sala e Porta-Bandeira,J3,10
BJF,1996,Mestre-Sala e Porta-Bandeira,J2,10
CAP,1996,Alegorias e Adereços,J5,9
CAP,1996,Evolução,J2,8.5
CAP,1996,Pen.,Pen.,0
CAP,1996,Bateria,J5,9.5
CAP,1996,Bateria,J4,10
CAP,1996,Bateria,J3,9.5
CAP,1996,Bateria,J2,10
CAP,1996,Bateria,J1,10
CAP,1996,Samba-Enredo,J5,9
CAP,1996,Samba-Enredo,J4,9.5
CAP,1996,Samba-Enredo,J3,9.5
CAP,1996,Samba-Enredo,J2,8.5
CAP,1996,Samba-Enredo,J1,9
CAP,1996,Harmonia,J5,10
CAP,1996,Harmonia,J4,10
CAP,1996,Harmonia,J3,10
CAP,1996,Harmonia,J2,9
CAP,1996,Harmonia,J1,9.5
CAP,1996,Evolução,J5,8
CAP,1996,Evolução,J4,10
CAP,1996,Evolução,J3,9.5
CAP,1996,Evolução,J1,9
CAP,1996,Enredo,J5,9.5
CAP,1996,Enredo,J4,9
CAP,1996,Enredo,J3,10
CAP,1996,Enredo,J2,8.5
CAP,1996,Enredo,J1,9.5
CAP,1996,Conjunto,J5,8.5
CAP,1996,Conjunto,J4,8.5
CAP,1996,Conjunto,J3,9
CAP,1996,Conjunto,J2,8
CAP,1996,Conjunto,J1,9.5
CAP,1996,Alegorias e Adereços,J4,9.5
CAP,1996,Alegorias e Adereços,J3,9.5
CAP,1996,Alegorias e Adereços,J2,8
CAP,1996,Alegorias e Adereços,J1,9
CAP,1996,Fantasias,J5,8.5
CAP,1996,Fantasias,J4,10
CAP,1996,Fantasias,J3,10
CAP,1996,Fantasias,J2,9
CAP,1996,Fantasias,J1,9
CAP,1996,Comissão de Frente,J5,10
CAP,1996,Comissão de Frente,J4,9.5
CAP,1996,Comissão de Frente,J3,9.5
CAP,1996,Comissão de Frente,J2,10
CAP,1996,Comissão de Frente,J1,10
CAP,1996,Mestre-Sala e Porta-Bandeira,J5,10
CAP,1996,Mestre-Sala e Porta-Bandeira,J4,10
CAP,1996,Mestre-Sala e Porta-Bandeira,J3,10
CAP,1996,Mestre-Sala e Porta-Bandeira,J2,10
CAP,1996,Mestre-Sala e Porta-Bandeira,J1,9.5
EST,1996,Conjunto,J3,10
EST,1996,Mestre-Sala e Porta-Bandeira,J1,10
EST,1996,Mestre-Sala e Porta-Bandeira,J4,10
EST,1996,Mestre-Sala e Porta-Bandeira,J5,10
EST,1996,Comissão de Frente,J1,9.5
EST,1996,Comissão de Frente,J2,10
EST,1996,Comissão de Frente,J3,9
EST,1996,Comissão de Frente,J4,8
EST,1996,Comissão de Frente,J5,9.5
EST,1996,Fantasias,J1,9.5
EST,1996,Fantasias,J2,9.5
EST,1996,Fantasias,J3,9.5
EST,1996,Fantasias,J4,8.5
EST,1996,Fantasias,J5,9.5
EST,1996,Alegorias e Adereços,J1,9.5
EST,1996,Alegorias e Adereços,J2,8
EST,1996,Bateria,J5,10
EST,1996,Pen.,Pen.,0
EST,1996,Bateria,J1,10
EST,1996,Bateria,J2,10
EST,1996,Bateria,J3,10
EST,1996,Bateria,J4,10
EST,1996,Alegorias e Adereços,J3,9
EST,1996,Alegorias e Adereços,J4,10
EST,1996,Mestre-Sala e Porta-Bandeira,J2,10
EST,1996,Mestre-Sala e Porta-Bandeira,J3,10
EST,1996,Alegorias e Adereços,J5,8.5
EST,1996,Conjunto,J1,9.5
EST,1996,Conjunto,J2,8
EST,1996,Conjunto,J4,8.5
EST,1996,Conjunto,J5,10
EST,1996,Enredo,J1,9
EST,1996,Enredo,J2,8
EST,1996,Enredo,J3,10
EST,1996,Enredo,J4,8.5
EST,1996,Enredo,J5,10
EST,1996,Evolução,J1,9
EST,1996,Evolução,J2,9
EST,1996,Evolução,J3,10
EST,1996,Evolução,J4,8.5
EST,1996,Evolução,J5,10
EST,1996,Harmonia,J1,9.5
EST,1996,Harmonia,J2,10
EST,1996,Harmonia,J3,10
EST,1996,Harmonia,J4,10
EST,1996,Harmonia,J5,10
EST,1996,Samba-Enredo,J1,9
EST,1996,Samba-Enredo,J2,10
EST,1996,Samba-Enredo,J3,10
EST,1996,Samba-Enredo,J4,10
EST,1996,Samba-Enredo,J5,10
GRA,1996,Comissão de Frente,J1,9.5
GRA,1996,Comissão de Frente,J3,9
GRA,1996,Comissão de Frente,J4,9.5
GRA,1996,Comissão de Frente,J5,9.5
GRA,1996,Fantasias,J1,8
GRA,1996,Evolução,J5,10
GRA,1996,Evolução,J4,8
GRA,1996,Evolução,J3,9.5
GRA,1996,Mestre-Sala e Porta-Bandeira,J3,8.5
GRA,1996,Conjunto,J1,9.5
GRA,1996,Alegorias e Adereços,J5,9.5
GRA,1996,Alegorias e Adereços,J4,9
GRA,1996,Alegorias e Adereços,J3,9
GRA,1996,Alegorias e Adereços,J2,10
GRA,1996,Alegorias e Adereços,J1,9
GRA,1996,Fantasias,J5,8.5
GRA,1996,Fantasias,J4,9.5
GRA,1996,Fantasias,J3,10
GRA,1996,Fantasias,J2,9
GRA,1996,Mestre-Sala e Porta-Bandeira,J2,9.5
GRA,1996,Mestre-Sala e Porta-Bandeira,J1,9.5
GRA,1996,Harmonia,J1,10
GRA,1996,Harmonia,J2,9
GRA,1996,Harmonia,J3,10
GRA,1996,Harmonia,J4,8.5
GRA,1996,Harmonia,J5,10
GRA,1996,Samba-Enredo,J1,10
GRA,1996,Samba-Enredo,J2,9.5
GRA,1996,Samba-Enredo,J3,10
GRA,1996,Samba-Enredo,J4,10
GRA,1996,Samba-Enredo,J5,9.5
GRA,1996,Bateria,J1,10
GRA,1996,Bateria,J2,9
GRA,1996,Bateria,J3,10
GRA,1996,Bateria,J4,10
GRA,1996,Evolução,J1,10
GRA,1996,Enredo,J5,10
GRA,1996,Conjunto,J2,9
GRA,1996,Enredo,J3,9
GRA,1996,Bateria,J5,9.5
